,Timestamp,Weekday,Embedded_text,Emojis,Comments,Likes,Retweets,Tweet URL
31,2022-05-01 08:41:53,Sunday,"한줄 책추천 타래 #에세이만드는법 #이연실 #유유
저자 열성팬 됨.",,0,0,0,https://twitter.com/gudoogmaan/status/1520684922754588672
32,2022-05-01 09:22:32,Sunday,누가 재밌는 책 좀 추천해줬으면.. 나 이북 리더기 사서 지금 독서 성수기인데,,0,0,0,https://twitter.com/gyelaxy/status/1520695154880905216
33,2022-05-01 12:55:46,Sunday,"보수주의의  역사와 내용이 궁금한 분은 로버트 니스벳의 <보수주의>를 읽어보시면 됩니다. 얇고 딱히 많이 어렵지 않아요. 원트윗에 나오는 저 소리는 뭐냐고요? 저거 보고 ""이게 보수라고?""하실 분들 많을 것 같아서 책을 추천드림.
트윗 인용하기
자유시장법치
@samsik_c
 · 4월 29일
일부는 듣기 싫겠지만, 좌파 사상이 장악한 한국은 옳고 그름에 상관없이 약자에 대한 배려가 선이라고 생각하는 싸구려 감수성이 사회를 지배한다.
세상을 진보시켜 온 것은 보수의 차가운 이성이었고 감성은 변화와 진보를 막아 왔으니 좌익들이 스스로를 진보라고 칭하는 것은 참 어처구니 없다.
1",,0,1,0,https://twitter.com/ntild/status/1520748815514767360
34,2022-05-01 12:03:02,Sunday,스트레스를 받았다면 무리하지말고 푹 쉬어주세요. 자기 전 읽을만한 책이라도 추천해드릴까요?,,0,0,0,https://twitter.com/Archive_NIC_/status/1520735544669609985
35,2022-05-01 08:02:19,Sunday,캐딜락에스컬레이드 엔씨소프트 수입자동차가격 신영증권 서면이억남의그릴 현대캐피탈인증수입중고차 옵션기본예탁금 호텔신라 울산일산지맛집 울산맛집베스트10 대구서문시장맛집 외식프랜차이즈실무 사람인에이치알 주식매도후입금 생생정보 주식책추천,♥ ♥,0,0,0,https://twitter.com/w88seoul/status/1520674966261633025
36,2022-05-01 22:38:18,Sunday,"퇴사하면 어짜피 남남인 검다. 더 안 볼 인연인데 정이고 자시고 있겠슴까. 그러니까 있을 때 잘하지,라는검다. (끄덕끄덕...) 후기까지 써 주는 검까? 엄청 두꺼운 책으로 추천드렸는데, 논문 써 오시는 거 아니져... 유즈리하는 세 줄 요약을 좋아하니까여.",,0,0,0,https://twitter.com/animal_auto/status/1520895415104778245
37,2022-05-01 07:11:12,Sunday,"2017. 2. 7.

* 히로토 추천 받은 책 *

나무를 심은 사람, 양치기가 주인공인 자연에 관한 이야기.
하늘호수로 떠난 여행, 인도의 모습을 보여주면서 독특하게도 자신에 대해 생각해줄 수 있게 하는 책.",,0,0,0,https://twitter.com/mizuyo_forU/status/1520662100972310528
38,2022-05-01 18:12:00,Sunday,"추천해드리고 싶은 책은 정말 많은데... 아, ""정의란 무엇인가""! 재미있게 읽었던 기억이 나요.",,0,0,0,https://twitter.com/Starry_left_/status/1520828399798824960
39,2022-05-01 09:33:31,Sunday,"저랑 취향이 같으신 것 같은데 페잉으로 책 추천 마니 해주세요!!
peing.net
로라의 질문함입니다
질문/답변은 여기",❤ ❤,0,0,0,https://twitter.com/tenderislaura/status/1520697918407147520
40,2022-05-01 02:31:57,Sunday,"헐 찌민이가 책 추천해줌...,,
1",,1,0,0,https://twitter.com/124x__x/status/1520591827140677633
41,2022-05-01 13:37:34,Sunday,"님들ㄹ 재미난 소설책 추천
1",😋,1,0,0,https://twitter.com/gongsam282/status/1520759336691445760
42,2022-05-01 11:52:56,Sunday,"밀리의서재
책 추천 받습니㉰",,0,0,0,https://twitter.com/summarizehey/status/1520733001965256704
43,2022-05-01 12:01:43,Sunday,책 추천 좀,,0,0,0,https://twitter.com/nrzwb/status/1520735213017477120
44,2022-05-01 12:35:18,Sunday,"<장애의 역사> 오래전에 추천받았다가 요즘 도서관 다니기 시작해서야 읽고있는데 가슴이 벅찼다가 가라앉았다가 한다... 생각이 통째로 뒤집히는 책이다 다들 꼭 읽어보길.
3",,0,0,3,https://twitter.com/twotwotangle/status/1520743663390781440
45,2022-05-01 08:15:21,Sunday,그래도 수 모시 도서관에 다른 사서 분들도 짱착하시니까 책 위치나 내용 추천 물어봐주시면 다들 엄청 좋아하시거등여 많관부 부탁 이번에 나 SF 명작들 구입 신청도 함 ^.^,,0,0,0,https://twitter.com/PLugHo1e/status/1520678244592218112
46,2022-05-01 14:59:09,Sunday,"렛츠가락 책 재밌으니까 통판여시면
구매하십시어 추천",,0,0,0,https://twitter.com/zunllxe/status/1520779866266046464
47,2022-05-01 06:51:38,Sunday,"저도 책추천 하나 해보겠습니다
비밀-빡(@ QkrQkranseo)
진심 갓이에,
1",,1,0,0,https://twitter.com/IronTeSTAR/status/1520657177631158275
48,2022-05-01 03:25:23,Sunday,크레니히가 혼자 책을 읽고 있길래 읽을 만한 책이 있으면 추천해달라고 했더니 무척 당황하면서 『연극 연출의 이해』를 건네주더군. 이것 말고 좀 쉽게 읽을만한 게 없겠냐고 물었더니 더 당황하면서 『쉽게 풀어쓴 연극 연출의 이해』를 주었다. 음...,,0,0,0,https://twitter.com/Abel_UbotL/status/1520605274603913218
49,2022-05-01 17:41:09,Sunday,"[[게으름에 대한 찬양]]

이번은 종은배우님이 고른책~
가즈아~~



- 2022년1월4일 화요일 -
#버트런드러셀#사화평론#게으름에대한찬양#추천도서#송은경#쇼핑#책#도서#일상#일상#일타그램#일상스타그램#맞팔#맞팔그램#맞팔선팔#인싸#
instagram.com
김태환 (@realjosun) • Instagram photos and videos",😊 😁 😁 💕,0,0,0,https://twitter.com/realjosun/status/1520820635961765889
