제목,업로드일,주소
"[봄신상] 간절기자켓, 레터링티, 뷔스티에원피스, 심리스팬티, 바람막이 여자 옷 추천,코디 22.03.16",2022-3-17.,https://www.youtube.com/watch?v=941tjtgRjVs
레디언 심플 뷔스티에 - 4 color,2021-7-29.,https://www.youtube.com/shorts/LvvHThYIyxE
데님 옆트임 뷔스티에 롱원피스 2color,2022-4-20.,https://www.youtube.com/shorts/0thpxGqjPQ8
광고 듀엘원피스 올바른 상품! 추천해드려요 추천 TOP10,2022-4-30.,https://www.youtube.com/watch?v=zB39wPJB2F0
"[ 백만개브랜드💐 ] 코코앤유, 여기는 통통이들의 오아시스 인가요?",2021-8-25.,https://www.youtube.com/watch?v=ePwqO7B6uf8
"민소매, 슬리브리스 안어울리는 유형과 어울리는 유형의 차이점 | ft.손나은,로제,예리 //셜록뷰티🔎",2021-7-18.,https://www.youtube.com/watch?v=WHeB9J9HVwk
"행복여 | 플리츠 플라워 브이넥 끈 조절 쉬폰 뷔스티에 원피스 | 15,600원 | 라이브방송 | 봄원피스 | 데일리 원피스 코디",2022-3-4.,https://www.youtube.com/shorts/FdPxOdBrNiA
6가지 체형별 입어야 할 옷 vs 피해야 할 옷👚🧥 아이템별로 콕콕~짚어봄😃,2021-6-19.,https://www.youtube.com/watch?v=-_qbMATlXic
"VLOG | 오늘따라 말많은 직장인 브이로그, 비서실 에피소드, 타이 블라우스 뷔스티에 오피스룩, 플로리스 사무실 첫 손님 💌",2021-5-29.,https://www.youtube.com/watch?v=VF7WSO_z6_g
"코바늘 뷔스티에 뜨기, 코바늘옷만들기, 코바늘조끼뜨기, crochet",2022-4-21.,https://www.youtube.com/watch?v=cY7xZPPyPko
데일리앤 바스락 캉캉 뷔스티에 끈나시 롱 원피스 플룻,2022-5-12.,https://www.youtube.com/shorts/L9hGxxK4CxU
빅사이즈 겨울옷 쇼핑 언박싱&하울 | H패션몰 | 무신사 | 공구우먼 | 숏패딩 | 후드 | 야상 | 레더 스커트 | 니트 뷔스티에 원피스 | 뽀글이,2021-12-10.,https://www.youtube.com/watch?v=hbS60M9F5gY
🧶올해엔 꼭 한번 도전?! 내 체형에 맞는 니트베스트는? 체형별 니트조끼 고르는 법 & 추천 💛 패션유튜버 혜인 HEYNEE,최초 공개: 2021-9-18.,https://www.youtube.com/watch?v=COYAavrdhg4
"행복여/우아한 꽃 나염 골지 벨로아 브이 라인 뷔스티에 원피스/17,200원/뷔스티에원피스코디/플라워패턴원피스",2022-1-7.,https://www.youtube.com/shorts/Eb1HDVTnO1E
[LIVEWEAR] 심플와이 - 유럽풍 펀칭 레이스 뷔스티에 어깨 리본 원피스 (피크닉룩/바캉스패션),2022-4-14.,https://www.youtube.com/shorts/_cXVdv_h_Fs
"행복여/비비 플라워 브이 라인 뷔스티에 원피스/16,800원/뷔스티에코디/꽃무늬원피스코디/롱원피스코디",2022-4-12.,https://www.youtube.com/shorts/7G1sb8wBwyQ
77사이즈는 스파오에서 뭘 살 수 있나요🤔 스파오 여름 하울 | 66사이즈 | 88사이즈 | 매장 털기 | 통통녀 데일리룩 | 통통한 여자 코디 룩북,2021-7-21.,https://www.youtube.com/watch?v=GzvTwGLwEQE
[LIVEWEAR] 심플와이 - 프릴 뷔스티에 어깨 리본 끈 원피스,2022-4-21.,https://www.youtube.com/shorts/ehNP54yUu6A
누적판매5만장 지그재그 전체1등 원피스🥇(+무료증정 이벤트)ㅣ여자쇼핑몰ㅣ원피스ㅣ뷔스티에ㅣ케이클럽,2022-5-4.,https://www.youtube.com/watch?v=-dbTEYrTWXE
재단 재봉이 매우 쉬운 플래어 원피스만들기 Making a fiare dress that is very easy to cut and sew,2022-5-15.,https://www.youtube.com/watch?v=bwjK2d-hzW0
봄과 여름사이 zara🌸ㅣ5월 첫째주 자라신상ㅣ일상브이로그ㅣ쇼핑브이로그,2022-5-10.,https://www.youtube.com/watch?v=rnesMvQld4I
(eng) 올라가지도 않는 오래된 청바지 리폼하기🪡| Recycling with me : Project.2 | SAIDA사이다,2022-2-3.,https://www.youtube.com/watch?v=yeBSDo7W_s4
"행복여 | 플랩 단추 벨트 세트 멜빵 뷔스티에 원피스 | 22,000원 | 라이브방송 | 뷔스티에원피스코디 | 뷔스티에추천",2022-2-14.,https://www.youtube.com/shorts/VYnvJYOJVyI
DIY 리폼 원피스 | 안입는 원피스를 리폼해서 끈나시 여름원피스로 만드는 방법ㅣHow to make a Reform Dress [천가게TV],2021-6-23.,https://www.youtube.com/watch?v=4IA-ILVZ6ZM
[LIVE]💖오늘도 #빅사이즈 여름 신상 입어주라방!💖-2,실시간 스트리밍 시작일: 2022-5-3.,https://www.youtube.com/watch?v=wRN5S9JZNFQ
#봄코디 #긴머리웨이브 #데일리메이크업 #데이트룩 #롱원피스 #원피스코디 #원피스 #뷔스티에원피스 #여친룩 #데이트룩,2022-5-14.,https://www.youtube.com/shorts/kLxnGqeBE1o
"행복여 | 앤 체크 브이 라인 모직 텍스쳐 뷔스티에 원피스 | 18,700원 | 라이브방송 | 뷔스티에추천 | 레이어드룩",2021-12-8.,https://www.youtube.com/shorts/BByPHGinKuM
데일리앤 플라워 뷔스티에 롱 원피스 아로미,2022-4-29.,https://www.youtube.com/shorts/GwV_IPU5clQ
✔체형별로 옷빨 살려주는 옷  따로있다🙆‍♀️예쁘다고 무작정 옷사지 마세요‼️🎄[겨울편],2021-12-23.,https://www.youtube.com/watch?v=pVCQVrDA3FQ
