,title,date,url,hashtag
12363,"이것부터 준비하세요!! 여름 갓성비 니트 필수템 & 코디방법(카라니트,니트가디건,니트조끼)",2022-04-17,https://www.youtube.com/watch?v=sth_F8EXwLY,#여름필수템 #여름니트 #반팔니트
4323,[마리오 번외편] 세상에 쉬운것은 하나도 없다. 첫직원 소개/겟레디+사주를 보러가는...,2022-02-16,https://www.youtube.com/watch?v=-wxv9sbxjak,#마리오 #창업브이로그 #사무실구하기
5838,가젤 와이드 트레이닝 팬츠,2021-11-16,https://www.youtube.com/shorts/4xqr2nvo-X0,
16232,"행복여 | 핑크 플로라 쉬폰 밴딩 플리츠 스커트 | 14,000원 | 라이브방송 | 봄치마 | 데일리 맨투맨 코디",2022-03-16,https://www.youtube.com/shorts/X-4BTK4H3jE,
3734,F1 2022 모나코 GP 뒷이야기,2022-05-30,https://www.youtube.com/watch?v=rlGPKMhCn3k,
12634,구독자 이벤트💕악세사리 하울💍/겨울 악세사리 스타일링/accessories haul,2021-11-20,https://www.youtube.com/watch?v=rAwGXJD_eb0,#악세사리하울 #악세사리추천 #겨울악세사리
1066,남자바지 추천 판매순위 Top10 || 가격 평점 후기 비교,2022-05-13,https://www.youtube.com/watch?v=4XdTcZS1Roc,#남자바지추천 #남자바지가격 #남자바지후기 #가성비남자바지 #남자바지순위 #업클라스 #캐럿 #업클라스 #빅사이즈클럽 #스댕클럽 #아웃사이즈 #슈퍼맨아웃도어 #씨쏘
5797,지금 신기좋은 10만원이하 신발 추천 가즈아~!! 진짜 이쁨!!,2022-03-25,https://www.youtube.com/watch?v=gSlSe2eYR70,#남자신발추천 #가성비신발 #컨버스
6732,"[원포인트 봉제_ CHAPTER.4  조끼/민소매 암홀,안단 처리하는 꿀팁 보여드립니다! ]",2021-09-02,https://www.youtube.com/watch?v=JbP68JJEvo0,
6580,크롭탑의 절정,2022-03-03,https://www.youtube.com/shorts/NG5Ihtm6JGc,
15793,"행복여 | 앨리스 프릴 둥근 세일러 카라 캉캉 원피스 | 27,400원 | 라이브방송 | 봄원피스 | 데일리 원피스 코디",2022-03-07,https://www.youtube.com/shorts/dmhoeE1Tf8Y,
16340,"❄️ 겨울 옷 하울⎟마뗑킴 가방과 잘 어울리는, ‘미니멀의 정수’ 쇼핑몰 털기⎟꾸안꾸, 무채색, 블랙인간으로 입는 사람 여기여기 붙어라!!⎟아케, 애프터먼데이, 므넴",2021-12-20,https://www.youtube.com/watch?v=Cg6jy5YSWtM,#겨울옷하울 #미니멀룩 #무채색코디 #블랙코디 #마뗑킴 #아케 #애프터먼데이 #므넴 #언박싱 #하울 #사용후기
13946,"vlog. 언박싱만 하는 브이로그. 가을옷 쇼핑하울 (마르디 메크르디, 자라zara, 포이어). 데일리룩. 니어웨어. 마론에디션. 아보네. 메이비베이비. 블루브릭. 코이르",2021-10-10,https://www.youtube.com/watch?v=iM3NmAuOceE,#패션하울 #직장인브이로그 #데일리룩 #가을옷하울 #프로캄후시메디 #아이크림추천
15072,한눈에 보는 티셔츠 길이,2022-05-29,https://www.youtube.com/shorts/xPpvsDGuJhA,#남자여름코디 #티셔츠길이
4258,살~짝 위트를 더한 기본템 가성비 브랜드 추천,2021-07-04,https://www.youtube.com/watch?v=D9pz7ZPWqw4,
15257,올인원수영복 구경하세요 / 이거 안보면 손해,2021-07-10,https://www.youtube.com/watch?v=tFMbAv7U9uI,#올인원수영복 #명품 #수영 #홀터넥비키니수영복 #수영복코디 #수영복만들기 #여름코디 #데님반바지 #수영복 #청바지 #데님청수영복 #호피무늬 #비키니수영복 #랩스커트 #숄 #인싸템 #원피스리폼 #호피무늬수영복 #여름코디 #비키니룩북 #수영복리폼 #여름 #호피무늬코디 #수영복리폼 #수영복코디 #수영복만들기 #수영복원피스 #룩북수영복 #럭셔리수영복 #호캉스수영복 #수영복리폼 #수영복코디 #랩스커트만들기 #랩스커트코디 #청수영복 #청반바지 #청반바지코디 #옷만들기 #리폼 #패턴없이 #패션 #디자이너 #디자이너 #무료패턴 #청바지 #패턴없이옷만들기 #셔츠 #원피스 #신의손 #옷 #만들기 #패션디자이너 #나시 #스웨터 #겨울 #가디건 #여름 #계절 #신의손 #춘추복 #봄옷 #봄 #가을 #애니코스프레
1664,"핫한 디자이너 겨울 신상 아우터 모음zip 룩북쓰❄️☃️ (아모멘토, 유라고, 엔오르, 아바몰리, 마조네) 무스탕, 코트, 양털자켓 다 모은 winter outer LOOKBOOK",2021-11-04,https://www.youtube.com/watch?v=rkbXDm9bKf8,#겨울아우터 #겨울룩북
9553,모노데일리 #셔츠원피스 #데일리코디 #롱원피스 #행궁동카페 #여름코디,2021-06-07,https://www.youtube.com/shorts/og1fgF0E9UQ,
1183,나에게 딱맞는 나이키바람막이 가격비교 추천순위 top10,2022-04-15,https://www.youtube.com/watch?v=94nO0u7jBNg,#나이키 #나이키 #나이키 #나이키 #나이키 #나이키 #콘피아르 #콘피아르 #나이키
1172,요즘 한국 패션 1분 요약 / Korean fashion look book #shorts,2022-03-18,https://www.youtube.com/shorts/MKH5cGlyLac,#남자코디 #요즘한국패션
7794,이건 진짜 만족률 99.9%  전문가용 겨울용 낚시바지의 마침표를 찍다  방한 방수 투습 완벽한액션에 동조까지 이런바지가  3만원 진짜미쳤다  낚시바지 방한바지 방수바지,2021-11-07,https://www.youtube.com/watch?v=RYfWP3-eFaA,#낚시바지 #방한바지 #방수바지
2497,자켓 손바느질 라펠부분 마지막 작압입니다. 보다 단단하고 유연하게 만들기위해 손바느질을 고수합니다,2022-04-05,https://www.youtube.com/shorts/Kqr45nYswTk,
2860,219 부츠컷 청 검,2021-12-14,https://www.youtube.com/shorts/0G3dfB_O_oE,
12250,"아크네후드티,크롭후드티,나이키후드티,스톤아일랜드맨투맨,반팔티,라코스테반팔티,반팔후드티,나이키후드집업,맨투맨,나이키맨투맨,메종키츠네맨투맨,후드집업,루즈핏후드,아미맨투맨,나이키후드",2021-10-12,https://www.youtube.com/shorts/5Sk7sxulYn8,
9730,토요일 브이로그 | 잠옷 쇼핑몰 촬영 | 홈웨어 | 의정부 맛집 | 여민락감자탕 | 민락동 | 카페베네 | 뭉끌라쥬 | 미니비숑 룽지,2021-12-26,https://www.youtube.com/watch?v=eyh4K7To_h0,#홈웨어 #잠옷
4845,와이셔츠 다리미로 강력 추천하는 핸디스팀다리미,2022-03-24,https://www.youtube.com/watch?v=1koEneI4hbg,
5715,코디가 이뻐지는 초간단 머플러 꿀팁!,2021-12-03,https://www.youtube.com/shorts/nyiGAZmjhaU,
